date,name,size,density
2015-07,Sofinnova.Ventures,0,0.0
2015-03,Sofinnova.Ventures,0,0.0
2016-05,Sofinnova.Ventures,0,0.0
2016-01,Sofinnova.Ventures,2,1.0
2016-04,Sofinnova.Ventures,0,0.0
2014-11,Sofinnova.Ventures,0,0.0
2015-06,Sofinnova.Ventures,0,0.0
2016-06,Sofinnova.Ventures,0,0.0
2015-10,Sofinnova.Ventures,11,1.0
2014-09,Sofinnova.Ventures,0,0.0
2015-02,Sofinnova.Ventures,3,1.0
2016-07,Sofinnova.Ventures,0,0.0
2015-12,Sofinnova.Ventures,0,0.0
2014-10,Sofinnova.Ventures,1,1.0
2015-04,Sofinnova.Ventures,12,0.5454545454545454
2014-08,Sofinnova.Ventures,7,0.6785714285714286
2016-03,Sofinnova.Ventures,3,1.0
2015-08,Sofinnova.Ventures,1,1.0
2016-02,Sofinnova.Ventures,0,0.0
2015-09,Tikhon.Bernstam,4,1.0
2015-11,Tikhon.Bernstam,0,0.0
2015-01,Tikhon.Bernstam,6,0.6190476190476191
2014-12,Tikhon.Bernstam,0,0.0
2015-05,Tikhon.Bernstam,6,0.7619047619047619
2015-07,Tikhon.Bernstam,0,0.0
2015-03,Tikhon.Bernstam,2,1.0
2016-05,Tikhon.Bernstam,0,0.0
2016-01,Tikhon.Bernstam,2,1.0
2016-04,Tikhon.Bernstam,3,1.0
2014-11,Tikhon.Bernstam,0,0.0
2015-06,Tikhon.Bernstam,0,0.0
2016-06,Tikhon.Bernstam,0,0.0
2015-10,Tikhon.Bernstam,0,0.0
2014-09,Tikhon.Bernstam,0,0.0
2015-02,Tikhon.Bernstam,0,0.0
2016-07,Tikhon.Bernstam,0,0.0
2015-12,Tikhon.Bernstam,0,0.0
2014-10,Tikhon.Bernstam,8,1.0
2015-04,Tikhon.Bernstam,0,0.0
2014-08,Tikhon.Bernstam,0,0.0
2016-03,Tikhon.Bernstam,5,1.0
2015-08,Tikhon.Bernstam,3,0.6666666666666666
2016-02,Tikhon.Bernstam,0,0.0
2015-09,Forerunner.Ventures,0,0.0
2015-11,Forerunner.Ventures,10,0.38181818181818183
2015-01,Forerunner.Ventures,6,1.0
2014-12,Forerunner.Ventures,1,1.0
2015-05,Forerunner.Ventures,3,1.0
2015-07,Forerunner.Ventures,3,0.6666666666666666
2015-03,Forerunner.Ventures,10,0.509090909090909
2016-05,Forerunner.Ventures,5,0.6
2016-01,Forerunner.Ventures,6,0.6190476190476191
2016-04,Forerunner.Ventures,0,0.0
2014-11,Forerunner.Ventures,6,0.6
2015-06,Forerunner.Ventures,3,1.0
2016-06,Forerunner.Ventures,0,0.0
2015-10,Forerunner.Ventures,6,0.8
2014-09,Forerunner.Ventures,2,1.0
2015-02,Forerunner.Ventures,10,1.0
2016-07,Forerunner.Ventures,3,1.0
2015-12,Forerunner.Ventures,0,0.0
2014-10,Forerunner.Ventures,9,0.7111111111111111
2015-04,Forerunner.Ventures,1,1.0
2014-08,Forerunner.Ventures,6,0.6190476190476191
2016-03,Forerunner.Ventures,0,0.0
2015-08,Forerunner.Ventures,8,0.6666666666666666
2016-02,Forerunner.Ventures,0,0.0
2015-09,Lightspeed.Venture.Partners,8,0.3888888888888889
2015-11,Lightspeed.Venture.Partners,6,0.47619047619047616
2015-01,Lightspeed.Venture.Partners,9,0.4888888888888889
2014-12,Lightspeed.Venture.Partners,4,0.6
2015-05,Lightspeed.Venture.Partners,19,0.3216374269005848
2015-07,Lightspeed.Venture.Partners,9,0.3111111111111111
2015-03,Lightspeed.Venture.Partners,10,0.38181818181818183
2016-05,Lightspeed.Venture.Partners,6,0.38095238095238093
2016-01,Lightspeed.Venture.Partners,14,0.37362637362637363
2016-04,Lightspeed.Venture.Partners,4,1.0
2014-11,Lightspeed.Venture.Partners,2,1.0
2015-06,Lightspeed.Venture.Partners,8,0.5
